timestamp,x,y,z
605912034,34.3,-122.745,-81.62
605912039,34.895,-123.375,-82.67
605912044,36.295002,-124.565,-83.72
605912048,37.625,-126.07,-84.840004
605912053,39.305,-127.785,-85.155
605912059,42.07,-129.08,-84.56
605912063,45.815,-130.30501,-83.72
605912068,50.05,-131.39,-82.775
605912073,54.985,-132.475,-81.585
605912078,59.85,-133.7,-80.71
605912082,64.015,-135.625,-79.765
605912087,67.445,-138.075,-79.1
605912092,70.28,-140.84,-78.575
605912096,72.8,-142.975,-77.91
605912100,74.515,-145.25,-77.49
605912105,75.915,-147.49,-77.385
605912109,77.735,-149.135,-77.805
605912114,78.47,-150.815,-77.98
605912119,79.38,-151.34,-78.26
605912123,80.99,-151.83,-78.54
605912128,82.25,-153.335,-78.96
605912133,83.965004,-155.225,-79.1
605912137,85.715004,-156.975,-78.645
605912142,87.675,-158.48,-78.015
605912146,89.985,-159.495,-77.175
605912151,92.855,-159.775,-76.825
605912156,95.935,-159.95,-77.840004
605912160,98.7,-160.755,-80.22
605912165,101.045,-162.435,-83.44
605912170,101.815,-164.605,-87.255
605912174,100.8,-167.65,-91.175
605912179,99.19,-171.255,-95.48
605912183,97.65,-175.0,-99.715004
605912188,97.16,-178.85,-103.915
605912193,96.74,-182.56,-107.45
605912197,96.67,-186.095,-109.655
605912202,96.81,-190.015,-110.39
605912208,97.685,-193.41,-109.9
605912212,99.89,-196.14,-108.325
605912217,103.215004,-198.17,-105.595
605912222,107.275,-199.815,-102.095
605912227,111.545,-200.97,-98.175
605912231,116.165,-201.705,-93.590004
605912236,119.98,-200.935,-88.340004
605912241,124.075,-200.34,-83.44
605912246,126.07,-200.69,-79.485
605912250,126.14,-202.475,-76.93
605912255,125.125,-205.24,-75.845
605912260,123.095,-209.405,-76.44
605912265,119.840004,-214.2,-78.82
605912269,115.71,-219.205,-82.915
605912274,111.79,-224.0,-88.025
605912279,109.095,-227.78,-93.87
605912283,107.590004,-230.09,-99.82
605912287,106.96,-231.14,-105.14
605912292,106.82,-231.0,-109.48
605912296,106.82,-230.895,-112.21
605912301,108.045,-230.51,-113.68
605912306,109.9,-230.335,-113.925
605912310,111.895004,-230.23,-113.295
605912315,113.89,-230.125,-111.51
605912321,116.76,-230.825,-108.955
605912325,119.21,-230.825,-106.505
605912330,121.415,-231.105,-104.405
605912335,119.035,-229.6,-102.235
605912340,125.37,-232.75,-101.045
605912344,128.695,-238.49,-102.445
605912349,130.865,-242.095,-102.515
605912354,132.09,-244.3,-102.06
605912358,132.685,-246.435,-101.85
605912362,133.91,-247.765,-101.325
605912367,134.96,-246.82,-100.765
605912371,135.24,-243.985,-100.03
605912376,134.715,-239.995,-99.645
605912381,133.105,-235.62,-99.75
605912385,130.165,-230.65,-99.96
605912390,127.505,-225.4,-99.995
605912395,126.49,-219.275,-99.82
605912399,126.770004,-212.52,-99.12
605912404,127.96,-205.485,-98.0
605912408,129.71,-199.36,-96.74
605912413,131.495,-194.25,-95.655
605912418,133.56,-189.665,-94.92
605912422,135.835,-186.445,-93.87
605912427,137.27,-184.975,-92.575
605912433,138.565,-184.485,-90.685
605912437,141.19,-184.905,-88.55
605912442,142.52,-185.64,-85.855
605912447,143.395,-186.2,-81.305
605912452,145.285,-187.46,-77.14
605912456,146.545,-187.04,-72.835
605912461,147.665,-184.94,-68.565
605912466,149.275,-182.07,-64.085
